min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,classe
-11940.0,-8984.0,6744.0,-800.0,-546.0,-1583.0,-9780.0,-8008.0,7988.0,-704.0,631.0,1182.0,-11056.4,-8478.96,7353.2,-745.28,-120.78,-241.92,330.01648443676265,195.41923753817076,249.29243871405325,19.749470878988124,233.330691508854,448.7021212341212,15758.94999823922,920.3126526898886,0
-7936.0,-25932.0,-5788.0,-1168.0,-13870.0,-30004.0,16164.0,-2768.0,30960.0,-1056.0,14455.0,23272.0,544.8528784648188,-13517.799573560767,3840.8017057569296,-1108.3326226012794,-311.8336886993603,-1256.2430703624734,4332.371902355207,3769.995524410117,7596.031878814291,21.34397499034533,5098.54441350859,8383.794541447103,16747.299112358884,7821.456163811739,1
-7872.0,-18580.0,-5676.0,-1088.0,-5402.0,-7964.0,-2844.0,-13368.0,2932.0,-1024.0,1835.0,3588.0,-5140.56,-15639.76,-2377.6,-1054.72,-1196.44,-1171.82,1139.8644157968963,1090.9505316007687,1947.4806699939284,13.889622025094852,1523.990002066943,2598.1093178694387,16794.316185992695,3190.078159784926,0
-10092.0,-9796.0,7968.0,-848.0,-638.0,-914.0,-9084.0,-9260.0,8676.0,-768.0,91.0,350.0,-9554.72,-9496.8,8271.28,-800.96,-273.12,-177.94,183.7292616868636,138.71178753083674,159.48655617323988,20.08876302812097,144.8556025840906,281.1895737754158,15809.530110549917,917.1555932522388,0
-21928.0,-25308.0,-24008.0,-1440.0,-12635.0,-28465.0,20684.0,6540.0,9344.0,-1344.0,12254.0,21979.0,3348.72,-10047.302857142857,-3523.7771428571427,-1397.5314285714285,43.37428571428571,-17.72714285714286,11243.442597679516,5105.521892980787,4810.588214291216,17.98373505506051,3605.7530954884433,6574.82379979921,17138.20547382203,5829.933840773881,1
-21200.0,-20700.0,-9688.0,-992.0,-26221.0,-32768.0,15912.0,13960.0,27352.0,-896.0,10944.0,32767.0,-2487.6666666666665,-7691.961538461538,2533.2051282051284,-945.1794871794872,-925.724358974359,956.6185897435896,10676.42878886759,8012.966315791418,6935.981219030436,18.63670460975797,7099.237207195011,11653.96951323555,16926.604731837895,11201.069711668057,1
-12284.0,-7480.0,-16048.0,-1056.0,-7497.0,-9010.0,-5432.0,-1804.0,-7660.0,-960.0,6356.0,5908.0,-9767.2,-5521.76,-12611.68,-1021.12,-826.22,-1150.86,1740.1596248620413,1061.720915495216,1933.323909126456,22.09854293839302,2709.0363917083137,2988.1463485579147,17086.678181174404,3687.342749053656,0
-32768.0,-29036.0,-7820.0,-1088.0,-22236.0,-32768.0,21556.0,10344.0,32767.0,-976.0,14945.0,32767.0,2158.801801801802,-13819.045045045044,3164.1936936936936,-1039.1711711711712,-321.6734234234234,1180.304054054054,4764.081689906761,4403.542131543339,7000.455202918474,21.14977642370014,6251.443186466467,9909.954862574898,16815.627766286474,9999.655817370289,1
-3404.0,-24188.0,-5620.0,-816.0,-6732.0,-23637.0,12036.0,-10188.0,3004.0,-720.0,7509.0,11673.0,3829.68,-16390.96,-1960.88,-769.28,205.48,-2014.02,4047.533023657744,3427.410806775284,2070.5902988278485,22.36339866835987,2858.280925591465,7294.873941309746,17469.120710041352,6729.888064090284,0
-12380.0,-32768.0,-7856.0,-1152.0,-32768.0,-26299.0,32767.0,-2572.0,32767.0,-1056.0,18326.0,32767.0,1446.873015873016,-10918.657596371882,8187.108843537415,-1110.9659863945578,-580.1814058956916,-871.18820861678,3719.380906012597,5199.452656807138,7030.777260453659,18.228611844752823,6962.378251029067,9264.180773766344,16411.53412184452,9518.061171677846,1
-6184.0,-32768.0,-6556.0,-1040.0,-27535.0,-14355.0,9996.0,-5852.0,13352.0,-944.0,8034.0,22610.0,187.28,-16751.12,536.48,-992.96,-1761.4,1087.56,3807.2019071228674,4361.68468663199,4064.527732664645,22.264734447102665,7988.75828398882,8313.423066727688,17736.56096293515,10028.18731933659,0
-15912.0,-12304.0,-5788.0,-720.0,-8541.0,-15697.0,-6264.0,-6492.0,4296.0,-640.0,3894.0,10939.0,-12804.32,-9467.92,499.44,-683.2,-160.18,-690.36,1453.8634521852457,1306.1852830284072,1750.154829265114,17.6,2119.473903495865,4199.67490532303,16102.200722263997,3210.81725583608,0
-16640.0,-25940.0,-16792.0,-1392.0,-23177.0,-32768.0,26632.0,9720.0,15320.0,-1264.0,29033.0,31173.0,4813.75132837407,-12690.206163655685,910.1253985122212,-1332.250797024442,84.49096705632306,-46.16578108395324,8056.169510475841,3987.137514564431,5144.552379471452,20.71672233681507,5283.821814787901,6673.896564369294,16914.84525014411,6657.237349236979,1
-11448.0,-21520.0,-9452.0,-816.0,-12221.0,-16878.0,8912.0,-8796.0,5988.0,-752.0,9505.0,18427.0,-3275.04,-15744.16,-1439.36,-774.72,-681.98,-316.12,4521.76946320796,2275.296194872219,3268.518378470588,15.376657634219471,5312.97020691816,7384.311349448912,17067.987612341545,7600.466880348897,0
-10044.0,-9924.0,7832.0,-848.0,-546.0,-590.0,-9196.0,-9176.0,8516.0,-784.0,110.0,348.0,-9547.2,-9538.96,8192.48,-810.88,-248.64,-176.9,187.6848422222743,147.45805640927185,149.54146448393502,17.06533328124593,142.48505325120948,218.59105654166183,15789.38287003108,903.815595279828,0
-21608.0,-21048.0,-14652.0,-1024.0,-8761.0,-16036.0,17388.0,9244.0,15604.0,-928.0,17215.0,31064.0,-743.7915309446254,-10168.312703583062,-4146.0846905537455,-970.527687296417,1835.3127035830616,3405.7622149837134,10424.799055337364,6116.464662479712,5964.310893625872,17.87310634674401,4987.012855224797,8574.422311314871,17170.18231288684,8276.114208402962,1
-14036.0,-23036.0,-16384.0,-1248.0,-9077.0,-27383.0,15100.0,-5016.0,25944.0,-1136.0,14509.0,25613.0,1947.7971014492755,-13322.608695652174,5399.207729468599,-1191.8454106280194,-139.97101449275362,-1015.268115942029,4680.729403231059,4009.294678958672,6314.6361808852525,19.634714050524835,4892.095433311623,7834.141424127765,16656.04789862973,7866.039430354141,1
-9868.0,-16452.0,-11824.0,-1024.0,-7769.0,-12578.0,10116.0,-6684.0,12284.0,-928.0,4310.0,13581.0,-4292.205128205128,-9896.8547008547,6656.752136752137,-982.5641025641024,-217.47008547008548,1133.025641025641,4580.242365733782,1703.393482128112,6060.806635697591,22.054859578610237,1780.0441777512565,4004.580305936312,14662.8701586866,3492.4552427044136,1
-16996.0,-25252.0,-32768.0,-1472.0,-14396.0,-23613.0,13724.0,-2496.0,17904.0,-1376.0,27103.0,30496.0,2047.0487106017192,-11592.280802292264,1131.1518624641833,-1428.7679083094556,347.2851002865329,885.0243553008596,5268.987178918742,4826.7627872358335,10119.719178656824,18.978060064708224,5464.307165055419,5903.619195980942,16934.52800775639,6167.8935584390665,1
-6880.0,-26272.0,-8732.0,-992.0,-5285.0,-24535.0,4036.0,-12648.0,1404.0,-912.0,5342.0,15077.0,-389.92,-16470.08,-4246.96,-960.0,4.64,-2782.3,2440.545282022032,2269.864523181945,2268.568649699629,16.62768775266122,2341.094118227629,10029.093756167604,17342.891661116166,9729.778249973471,0
-22020.0,-23232.0,-17160.0,-1024.0,-7238.0,-16238.0,32767.0,11480.0,11352.0,-912.0,14582.0,25375.0,-665.9685714285714,-9219.84,-2220.4342857142856,-971.2,2627.44,2013.2485714285715,12202.933332213235,6111.200925476339,5126.229896742153,18.96040988104273,3607.877301619729,6646.801701221054,17125.23916810269,7358.923529433773,1
-12008.0,-11884.0,-56.0,-944.0,-525.0,-1232.0,-11144.0,-11140.0,1424.0,-848.0,300.0,243.0,-11500.88,-11460.56,749.52,-896.32,-188.38,-346.86,177.6815848646111,159.81190944357056,438.78442269524567,21.344263866434936,171.20816452494316,346.30466413261024,16260.224819262714,1044.9273499519045,0
-16476.0,-24020.0,-15696.0,-1408.0,-9282.0,-25053.0,15640.0,12260.0,13700.0,-1312.0,16542.0,23536.0,1657.7906137184116,-9455.870036101083,564.4981949458484,-1366.0938628158844,1323.3068592057762,33.292418772563174,9402.551817362086,7655.943410145798,7348.373701374399,18.349353421830184,4415.077493960733,6340.3142738658125,16917.180482088876,6471.980262299521,1
